Movie_Title,Release_Year,Rating,Movie_URL
Santa Jr,2002,4 Stars,../filmdata/s_films/santa_jr.html
Scooby Doo,2002,4 Stars,../filmdata/s_films/scoobydoo.htm
Secretary,2002,4 Stars,../filmdata/s_films/secretary.htm
Shallow Hal,2002,4 Stars,../filmdata/s_films/shallow_hal.htm
Signs,2002,4 Stars,../filmdata/s_films/signs.html
Snow Queen,2002,4 Stars,../filmdata/s_films/snow_queen.htm
Solaris,2002,4 Stars,../filmdata/s_films/solaris.htm
The Sorcerer's Apprentice,2002,4 Stars,../filmdata/s_films/sorcerers_apprentice.htm
Spiderman,2002,4 Stars,../filmdata/s_films/spiderman.htm
Spy Kids 2,2002,4 Stars,../filmdata/s_films/spy_kids_2.html
"Star
    Wars Episode 2 Attack Clones",2002,4 Stars,../filmdata/s_films/starwars_episode_2_attack_of_the_clones.htm
"Stuart
    Little 2",2002,4 Stars,../filmdata/s_films/stuart_little_2.htm
Star Trek - Nemesis,2002,4 Stars,../filmdata/s_films/star_trek_nemesis.htm
Stranded,2002,4 Stars,../filmdata/s_films/stranded.html
"Sweetest
    Thing",2002,4 Stars,../filmdata/s_films/sweetest_thing.htm
"Sweet
    Home Alabama",2002,4 Stars,../filmdata/s_films/sweet_home_alabama.htm
"Swept
    Away",2002,4 Stars,../filmdata/s_films/swept_away.htm
Terminal Error,2002,4 Stars,../filmdata/t_films/terminal_error.htm
Thir13en Ghosts,2002,4 Stars,../filmdata/t_films/thir13en ghosts.htm
Time Machine,2002,4 Stars,../filmdata/t_films/time_machine.htm
Trapped,2002,4 Stars,../filmdata/t_films/trapped.htm
Truth About Charlie,2002,4 Stars,../filmdata/t_films/truth_about_charlie.htm
Vanilla Sky,2002,4 Stars,../filmdata/v_films/vanilla_sky.htm
Walk To Remember,2002,4 Stars,../filmdata/w_films/walk_to_remember.htm
Waking Up In Reno,2002,4 Stars,../filmdata/w_films/waking_up_in_reno.html
XXX,2002,4 Stars,../filmdata/x_films/xxx.html
"Gangs
    Of New York",2002,,../filmdata/g_films/gangs_of_new_york.htm
Lord Of The Rings: The Two Towers,2002,,../filmdata/l_films/lord_of_the_rings_2.htm
Nicolas Cage,2002,,../actor/c_actor/cage_nicholas.htm
Michael Caine,2002,,../actor/c_actor/caine_michael.htm
The Quiet American,2002,,../filmdata/q_films/quiet_american.html
Daniel Day-Lewis,2002,,../actor/d_actor/day_lewis_daniel.htm
Gangs of New York,2002,,../filmdata/g_films/gangs_of_new_york.htm
Jack Nicholson,2002,,../actor/n_actor/nicholson_jack.htm
"Nicole
        Kidman",2002,,../actress/k_actress/kidman_nicole.htm
"Salma
    Hayek",2002,,../actress/h_actress/hayek_salma.htm
Diane Lane,2002,,../actress/l_actress/lane_diane.htm
Julianne Moore,2002,,../actress/m_actress/moore_julianne.htm
Renee Zellweger,2002,,../actress/z_actress/zellweger_rene.htm
"Agent
    Cody Banks",2003,3 Stars,../filmdata/a_films/agent_cody_banks.htm
